Session,Source_ID,RA_offset_ms_no_corr,RA_offset_mas_no_corr,Dec_offset_mas_no_corr,RA_std_ms_no_corr,RA_std_mas_no_corr,Dec_std_mas_no_corr,RA_offset_ms_M1,RA_offset_mas_M1,Dec_offset_mas_M1,RA_std_ms_M1,RA_std_mas_M1,Dec_std_mas_M1,RA_offset_ms_M2,RA_offset_mas_M2,Dec_offset_mas_M2,RA_std_ms_M2,RA_std_mas_M2,Dec_std_mas_M2,RA_offset_ms_M3,RA_offset_mas_M3,Dec_offset_mas_M3,RA_std_ms_M3,RA_std_mas_M3,Dec_std_mas_M3
17APR09KV,4C39.25,0.0353934959418163,0.5309024391272459,-0.3784068065079964,0.0045608053184451,0.0684120797766767,0.0996063446471621,-0.0102927502262266,-0.1543912533933991,-0.1410374953266888,0.0049394928493762,0.0740923927406431,0.1078767438608616,-0.0241322933134786,-0.3619843997021803,-0.3774728595790542,0.0045608952420937,0.0684134286314056,0.0996083085472429,-0.0109804751676231,-0.1647071275143474,-0.1539037444830029,0.0049247209254821,0.0738708138822324,0.1075541303661479
17APR23KV,4C39.25,0.0176952831803461,0.2654292477051925,-0.3979271253701846,0.0056182225399514,0.0842733380992722,0.1062538518131203,0.0382391429006489,0.5735871435097337,0.2721523283399882,0.0063147097821038,0.0947206467315583,0.1194260698395764,-0.0418434380040783,-0.6276515700611753,-0.3979021775284366,0.0056182001652349,0.0842730024785244,0.1062534286544085,0.0342754059709842,0.5141310895647635,0.2377319391759123,0.0063058272141449,0.0945874082121745,0.1192580795093758
17MAY11KV,4C39.25,0.0130260425029315,0.1953906375439729,-0.4843025447073827,0.0065004624185554,0.0975069362783322,0.1131931585968335,0.0012927186408603,0.0193907796129053,-0.0881576917545032,0.0070013478993188,0.1050202184897822,0.1219151242067037,-0.0465071250623414,-0.6976068759351222,-0.4842688262028929,0.0065005613832067,0.0975084207481015,0.1131948818775399,-0.0018559281764439,-0.0278389226466586,-0.1169169678096082,0.0069557910421751,0.1043368656326279,0.1211218384027413
17MAY18KV,4C39.25,0.0082039689049073,0.1230595335736097,-0.1806955428945684,0.0075526430674294,0.1132896460114412,0.1177550095581868,0.0032685036682418,0.0490275550236276,-0.2984386963982786,0.0086170594037328,0.1292558910559927,0.134350571500711,-0.0513343952666673,-0.7700159290000101,-0.1806955787235153,0.0075526430924661,0.1132896463869916,0.1177550099485396,-0.0001073032533478,-0.0016095488002179,-0.2890333522688024,0.0086915649914725,0.1303734748720876,0.1355122053973606
18FEB03KV,4C39.25,0.002107654002767,0.0316148100415052,0.0799827042602387,0.0096133550971999,0.1442003264579993,0.1838011196842843,-0.0163967265552172,-0.2459508983282585,0.1695306094140907,0.0100822650818636,0.1512339762279549,0.192766374721772,-0.0574356067559378,-0.8615341013390676,0.0799830062490549,0.0096133550966752,0.1442003264501285,0.183801119674252,-0.018087754861715,-0.2713163229257258,0.1634905079756876,0.0100741395506909,0.1511120932603644,0.1926110198313647
