Session,Source_ID,RA_offset_ms_no_corr,RA_offset_mas_no_corr,Dec_offset_mas_no_corr,RA_std_ms_no_corr,RA_std_mas_no_corr,Dec_std_mas_no_corr,RA_offset_ms_M1,RA_offset_mas_M1,Dec_offset_mas_M1,RA_std_ms_M1,RA_std_mas_M1,Dec_std_mas_M1,RA_offset_ms_M2,RA_offset_mas_M2,Dec_offset_mas_M2,RA_std_ms_M2,RA_std_mas_M2,Dec_std_mas_M2,RA_offset_ms_M3,RA_offset_mas_M3,Dec_offset_mas_M3,RA_std_ms_M3,RA_std_mas_M3,Dec_std_mas_M3
17APR09KV,1548+056,0.0072610762528637,0.1089161437929568,-0.6427413414300176,0.0031953985938678,0.0479309789080179,0.1072635411950587,0.0074222666684036,0.1113340000260549,-0.6287232764479072,0.0031867449325664,0.0478011739884974,0.1069730540059898,0.0082804378855534,0.1242065682833022,-0.7401923655534972,0.0031953759514995,0.0479306392724928,0.1072627811331953,0.0074234592834829,0.1113518892522442,-0.6287195837065838,0.0031870149808817,0.0478052247132264,0.1069821190217425
17APR23KV,1548+056,0.0094893663664549,0.1423404954968248,-0.6493688696903632,0.0035025876938682,0.0525388154080244,0.1185197118711327,0.0094869712386634,0.1423045685799522,-0.6065864726683756,0.0034836542845923,0.0522548142688849,0.1178790477655475,0.007897839722258,0.1184675958338701,-0.9534624048083488,0.0035025946283562,0.0525389194253442,0.1185199465186533,0.009485612843512,0.1422841926526814,-0.6065196761423692,0.0034835343414779,0.0522530151221698,0.1178749891595697
17MAY11KV,1548+056,-0.01024305538533,-0.1536458307799506,-0.2247779103608991,0.0040542220486479,0.0608133307297191,0.1257246259592525,-0.0094040150485322,-0.1410602257279833,-0.2371652727439084,0.0040333634404409,0.0605004516066148,0.1250777840538555,-0.0099250660653391,-0.1488759909800876,-0.6102103820060876,0.0040542014935041,0.0608130224025616,0.1257239885280169,-0.0094018070954054,-0.1410271064310819,-0.237178817591797,0.0040331518521464,0.060497277782197,0.1250712225338237
17MAY18KV,1548+056,-0.001961396464128,-0.0294209469619204,-0.2615529219973211,0.0057612437971705,0.0864186569575587,0.1947644157077131,-0.0014620440659162,-0.0219306609887439,-0.2339345166428188,0.0057444513520017,0.086166770280026,0.1941967308662521,-0.0015334552877826,-0.0230018293167404,-0.3567589400174711,0.0057612437942466,0.0864186569136996,0.1947644156088664,-0.0014611274454409,-0.0219169116816146,-0.2338958069199748,0.0057443705953752,0.086165558930629,0.1941940008104306
18FEB03KV,1548+056,0.0085994790853006,0.1289921862795102,-0.4076909094488323,0.0065667870566158,0.0985018058492383,0.2506998807718251,0.0082761175111468,0.1241417626672025,-0.3553365596423248,0.0065680178254798,0.0985202673821983,0.2507468677693936,0.0091573097454506,0.1373596461817601,-0.6539193822977687,0.006566787056318,0.09850180584477,0.2506998807604527,0.0082774267540578,0.124161401310868,-0.3553901634768079,0.0065680272487108,0.0985204087306633,0.2507472275195831
