Session,Source_ID,RA_offset_ms_no_corr,RA_offset_mas_no_corr,Dec_offset_mas_no_corr,RA_std_ms_no_corr,RA_std_mas_no_corr,Dec_std_mas_no_corr,RA_offset_ms_M1,RA_offset_mas_M1,Dec_offset_mas_M1,RA_std_ms_M1,RA_std_mas_M1,Dec_std_mas_M1,RA_offset_ms_M2,RA_offset_mas_M2,Dec_offset_mas_M2,RA_std_ms_M2,RA_std_mas_M2,Dec_std_mas_M2,RA_offset_ms_M3,RA_offset_mas_M3,Dec_offset_mas_M3,RA_std_ms_M3,RA_std_mas_M3,Dec_std_mas_M3
17APR09KV,4C39.25,0.0353934959418163,0.5309024391272459,-0.3784068065079964,0.0045608053184451,0.0684120797766767,0.0996063446471621,0.0344673795517773,0.51701069327666,-0.362129425092764,0.0045484539127196,0.0682268086907954,0.0993365943970061,0.0576922332823225,0.8653834992348379,-0.3415052925050297,0.0045607730009013,0.06841159501352,0.0996056388436516,0.0350375103915591,0.5255626558733866,-0.362182938234973,0.0045488393537707,0.068232590306561,0.0993450122906653
17APR23KV,4C39.25,0.0176952831803461,0.2654292477051925,-0.3979271253701846,0.0056182225399514,0.0842733380992722,0.1062538518131203,0.030874385118228,0.4631157767734208,-0.2383896257633786,0.0055878529629274,0.0838177944439116,0.1056794914146504,0.0452667462001234,0.6790011930018522,-0.4946634653311719,0.0056182336630125,0.0842735049451877,0.106254062176464,0.0315013660089107,0.472520490133661,-0.2390167622837928,0.0055876605717106,0.0838149085756592,0.1056758528425402
17MAY11KV,4C39.25,0.0130260425029315,0.1953906375439729,-0.4843025447073827,0.0065004624185554,0.0975069362783322,0.1131931585968335,0.025591691562568,0.3838753734385207,-0.2993799127575798,0.0064670181234168,0.0970052718512523,0.1126107899651829,0.0467618062063588,0.7014270930953828,-0.5934090836977646,0.0065004294608293,0.0975064419124401,0.1131925847008732,0.0261464806748567,0.3921972101228519,-0.3011324516663975,0.0064666788667751,0.0970001830016275,0.1126048824576288
17MAY18KV,4C39.25,0.0082039689049073,0.1230595335736097,-0.1806955428945684,0.0075526430674294,0.1132896460114412,0.1177550095581868,0.0176199655773037,0.2642994836595562,-0.0310342608576092,0.0075306291848278,0.1129594377724183,0.1174117860094221,0.0272148181070178,0.4082222716052683,-0.23548102262626,0.0075526430635963,0.1132896459539445,0.1177550094984238,0.0178292216715552,0.2674383250733285,-0.0305491906128452,0.0075305233177622,0.1129578497664343,0.1174101354114513
18FEB03KV,4C39.25,0.002107654002767,0.0316148100415052,0.0799827042602387,0.0096133550971999,0.1442003264579993,0.1838011196842843,-0.0123224444925597,-0.1848366673883958,0.1422314316224096,0.0096151568638828,0.1442273529582426,0.1838355682956562,0.0045161532779144,0.0677422991687173,0.0857540327726624,0.0096133550967638,0.144200326451458,0.1838011196759466,-0.0123223927432851,-0.1848358911492766,0.1423442538579671,0.0096151706588886,0.1442275598833301,0.1838358320472282
